Varies per block?       ,1,Unit,$,2,1,2024
Varies per sequence?    ,1
# of agents             ,18
Stag,Seq.,Blck,Harvesting,Biomethane production,Steam ethanol 1G reform,Steam ethanol 2G reform,Steam methane reforming,Fast pyrolysis of biomass for bio oil,Slow pyrolysis of biomass for biochar,Alcohol to jet from 1G,Alcohol to jet from 2G,Fischer-Tropsch (Gaseification),Biomethanol synthesis,Electricity from residues,Electrolysis,BECCS (Bioethanol),E-methanol sythesis,FIscher-Tropsch (e-fuel),Sugar + E1G,E1G + Sugar
1,27,1,5.52e7,1.85472e6,0.0,0.0,0.0,-0.0,-0.0,2.30943048e7,0.0,-0.0,2.7228186528530004e6,2.795870707356e6,0.0,-0.0,-0.0,-0.0,0.0,9.2736e7
1,28,1,5.52e7,1.85472e6,0.0,0.0,0.0,-0.0,-0.0,2.30943048e7,0.0,-0.0,2.7228186528530004e6,2.795870707356e6,0.0,-0.0,-0.0,-0.0,0.0,9.2736e7
1,29,1,5.52e7,1.85472e6,0.0,0.0,0.0,-0.0,-0.0,2.30943048e7,0.0,-0.0,2.7228186528530004e6,2.795870707356e6,0.0,-0.0,-0.0,-0.0,0.0,9.2736e7
1,30,1,5.52e7,1.85472e6,0.0,0.0,0.0,-0.0,-0.0,2.30943048e7,0.0,-0.0,2.7228186528530004e6,2.795870707356e6,0.0,-0.0,-0.0,-0.0,0.0,9.2736e7
1,31,1,5.52e7,1.85472e6,0.0,0.0,0.0,-0.0,-0.0,2.30943048e7,0.0,-0.0,2.7228186528530004e6,2.795870707356e6,0.0,-0.0,-0.0,-0.0,0.0,9.2736e7
1,32,1,5.52e7,1.85472e6,0.0,0.0,0.0,-0.0,-0.0,2.30943048e7,0.0,-0.0,2.7228186528530004e6,2.795870707356e6,0.0,-0.0,-0.0,-0.0,0.0,9.2736e7
1,33,1,5.52e7,1.85472e6,0.0,0.0,0.0,-0.0,-0.0,100529.51999999999,0.0,-0.0,2.7228186528530004e6,2.795870707356e6,0.0,-0.0,-0.0,-0.0,9.2736e7,0.0
1,34,1,5.52e7,1.85472e6,0.0,0.0,0.0,-0.0,-0.0,100529.51999999999,0.0,-0.0,2.7228186528530004e6,2.795870707356e6,0.0,-0.0,-0.0,-0.0,9.2736e7,0.0
1,35,1,5.52e7,1.85472e6,0.0,0.0,0.0,-0.0,-0.0,100529.51999999999,0.0,-0.0,2.7228186528530004e6,2.795870707356e6,0.0,-0.0,-0.0,-0.0,9.2736e7,0.0
1,36,1,5.52e7,1.85472e6,0.0,0.0,0.0,-0.0,-0.0,100529.51999999999,0.0,-0.0,2.7228186528530004e6,2.795870707356e6,0.0,-0.0,-0.0,-0.0,9.2736e7,0.0
1,37,1,5.52e7,1.85472e6,0.0,0.0,0.0,-0.0,-0.0,100529.51999999999,0.0,-0.0,2.7228186528530004e6,2.795870707356e6,0.0,-0.0,-0.0,-0.0,9.2736e7,0.0
1,38,1,5.52e7,1.85472e6,0.0,0.0,0.0,-0.0,-0.0,100529.51999999999,0.0,-0.0,2.7228186528530004e6,2.795870707356e6,0.0,-0.0,-0.0,-0.0,9.2736e7,0.0
1,39,1,5.52e7,1.85472e6,0.0,0.0,0.0,-0.0,-0.0,100529.51999999999,0.0,-0.0,2.7228186528530004e6,2.795870707356e6,0.0,-0.0,-0.0,-0.0,9.2736e7,0.0
1,40,1,5.52e7,1.85472e6,0.0,0.0,0.0,-0.0,-0.0,100529.51999999999,0.0,-0.0,2.7228186528530004e6,2.795870707356e6,0.0,-0.0,-0.0,-0.0,9.2736e7,0.0
1,41,1,5.52e7,1.85472e6,0.0,0.0,0.0,-0.0,-0.0,100529.51999999999,0.0,-0.0,2.7228186528530004e6,2.795870707356e6,0.0,-0.0,-0.0,-0.0,9.2736e7,0.0
1,42,1,5.52e7,1.85472e6,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,2.7228186528530004e6,2.795870707356e6,0.0,-0.0,-0.0,-0.0,9.2736e7,0.0
1,43,1,5.52e7,1.85472e6,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,2.7228186528530004e6,2.795870707356e6,0.0,-0.0,-0.0,-0.0,9.2736e7,0.0
1,44,1,5.52e7,1.85472e6,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,2.7228186528530004e6,2.795870707356e6,0.0,-0.0,-0.0,-0.0,9.2736e7,0.0
1,45,1,5.52e7,1.85472e6,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,2.7228186528530004e6,2.795870707356e6,0.0,-0.0,-0.0,-0.0,9.2736e7,0.0
1,46,1,5.52e7,1.85472e6,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,2.7228186528530004e6,2.795870707356e6,0.0,-0.0,-0.0,-0.0,9.2736e7,0.0
1,47,1,5.52e7,1.85472e6,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,2.7228186528530004e6,2.795870707356e6,0.0,-0.0,-0.0,-0.0,9.2736e7,0.0
1,48,1,5.52e7,1.85472e6,0.0,0.0,0.0,-0.0,-0.0,100529.51999999999,0.0,-0.0,2.7228186528530004e6,2.795870707356e6,0.0,-0.0,-0.0,-0.0,9.2736e7,0.0
1,49,1,5.52e7,1.85472e6,0.0,0.0,0.0,-0.0,-0.0,100529.51999999999,0.0,-0.0,2.7228186528530004e6,2.795870707356e6,0.0,-0.0,-0.0,-0.0,9.2736e7,0.0
1,50,1,5.52e7,1.85472e6,0.0,0.0,0.0,-0.0,-0.0,100529.51999999999,0.0,-0.0,2.7228186528530004e6,2.795870707356e6,0.0,-0.0,-0.0,-0.0,9.2736e7,0.0
1,51,1,5.52e7,1.85472e6,0.0,0.0,0.0,-0.0,-0.0,100529.51999999999,0.0,-0.0,2.7228186528530004e6,2.795870707356e6,0.0,-0.0,-0.0,-0.0,9.2736e7,0.0
1,52,1,5.52e7,1.85472e6,0.0,0.0,0.0,-0.0,-0.0,100529.51999999999,0.0,-0.0,2.7228186528530004e6,2.795870707356e6,0.0,-0.0,-0.0,-0.0,9.2736e7,0.0
1,53,1,5.52e7,1.85472e6,0.0,0.0,0.0,-0.0,-0.0,2.30943048e7,0.0,-0.0,2.7228186528530004e6,2.795870707356e6,0.0,-0.0,-0.0,-0.0,0.0,9.2736e7
1,54,1,5.52e7,1.85472e6,0.0,0.0,0.0,-0.0,-0.0,100529.51999999999,0.0,-0.0,2.7228186528530004e6,2.795870707356e6,0.0,-0.0,-0.0,-0.0,9.2736e7,0.0
1,55,1,5.52e7,1.85472e6,0.0,0.0,0.0,-0.0,-0.0,100529.51999999999,0.0,-0.0,2.7228186528530004e6,2.795870707356e6,0.0,-0.0,-0.0,-0.0,9.2736e7,0.0
1,56,1,5.52e7,1.85472e6,0.0,0.0,0.0,-0.0,-0.0,2.30943048e7,0.0,-0.0,2.7228186528530004e6,2.795870707356e6,0.0,-0.0,-0.0,-0.0,0.0,9.2736e7
1,57,1,5.52e7,1.85472e6,0.0,0.0,0.0,-0.0,-0.0,2.30943048e7,0.0,-0.0,2.7228186528530004e6,2.795870707356e6,0.0,-0.0,-0.0,-0.0,0.0,9.2736e7
1,58,1,5.52e7,1.85472e6,0.0,0.0,0.0,-0.0,-0.0,2.30943048e7,0.0,-0.0,2.7228186528530004e6,2.795870707356e6,0.0,-0.0,-0.0,-0.0,0.0,9.2736e7
1,59,1,5.52e7,1.85472e6,0.0,0.0,0.0,-0.0,-0.0,2.30943048e7,0.0,-0.0,2.7228186528530004e6,2.795870707356e6,0.0,-0.0,-0.0,-0.0,0.0,9.2736e7
1,60,1,5.52e7,1.85472e6,0.0,0.0,0.0,-0.0,-0.0,2.30943048e7,0.0,-0.0,2.7228186528530004e6,2.795870707356e6,0.0,-0.0,-0.0,-0.0,0.0,9.2736e7
1,61,1,5.52e7,1.85472e6,0.0,0.0,0.0,-0.0,-0.0,2.30943048e7,0.0,-0.0,2.7228186528530004e6,2.795870707356e6,0.0,-0.0,-0.0,-0.0,0.0,9.2736e7
1,62,1,5.52e7,1.85472e6,0.0,0.0,0.0,-0.0,-0.0,2.30943048e7,0.0,-0.0,2.7228186528530004e6,2.795870707356e6,0.0,-0.0,-0.0,-0.0,0.0,9.2736e7
